🕘️更新时间,#genre#
辽宁卫视,http://106.83.116.15:8188/rtp/235.254.198.68:1548
辽宁卫视,http://113.119.25.53:58888/udp/239.77.1.103:5146
辽宁卫视,http://27.191.202.133:19999/rtp/239.254.200.57:8056
辽宁卫视,http://220.176.218.76:9000/udp/239.252.220.62:5140
辽宁卫视,http://115.58.216.71:4000/rtp/225.1.4.167:1208
内蒙古卫视,http://115.171.80.52:1688/rtp/225.1.8.156:8176
宁夏卫视,http://111.113.88.146:2000/rtp/239.121.4.94:8538
青海卫视,http://144.255.32.146:8288/udp/239.21.2.51:5002
青海卫视,http://144.255.31.40:6688/udp/239.21.2.51:5002
青海卫视,http://115.58.216.71:4000/rtp/225.1.4.44:1073
青海卫视,http://113.119.25.53:58888/udp/239.253.43.125:5146
山东卫视,http://144.255.32.146:8288/udp/239.21.1.87:5002
山东卫视,http://180.105.201.135:9981/rtp/239.49.8.146:6000
山东卫视,http://144.255.31.40:6688/udp/239.21.1.87:5002
山东卫视,http://106.83.116.15:8188/rtp/235.254.198.69:1552
山东卫视,http://111.113.88.146:2000/rtp/239.121.4.162:8956
山东卫视,http://113.119.25.53:58888/udp/239.77.1.142:5146
山东卫视,http://27.191.202.133:19999/rtp/239.254.200.55:8052
山东卫视,http://106.59.2.153:55555/rtp/239.200.200.168:8748
山东卫视,http://220.176.218.76:9000/udp/239.252.219.228:5140
山东卫视,http://115.58.216.71:4000/rtp/225.1.4.88:1117
山西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
山西卫视,http://115.58.216.71:4000/rtp/225.1.4.38:1067
山西卫视,http://115.171.80.52:1688/rtp/225.1.8.155:8172
陕西卫视,http://115.58.216.71:4000/rtp/225.1.4.39:1068
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
四川卫视,http://144.255.32.146:8288/udp/239.21.2.15:5002
四川卫视,http://106.83.116.15:8188/rtp/235.254.198.175:7980
四川卫视,http://144.255.31.40:6688/udp/239.21.2.15:5002
四川卫视,http://27.191.202.133:19999/rtp/239.254.200.202:6325
四川卫视,http://114.100.195.41:4022/rtp/238.1.78.30:6168
四川卫视,http://113.119.25.53:58888/udp/239.77.1.215:5146
四川卫视,http://115.58.216.71:4000/rtp/225.1.4.151:1306
四川卫视,http://115.171.80.52:1688/rtp/225.1.8.142:8288
